ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
12648,47,101.58,3,4774.26,09/12/2018,3009,Shipped,Motorcycles,117,S12_3380,"Toys of Finland, Co.",2151476678,201 Miller Street,Salzburg,,Canada,Cruz,Valarie,Small
12649,26,195.33,4,5078.58,21/10/2019,1076,Shipped,Classic Cars,132,S18_2870,Scandinavian Gift Ideas,2163853949,8489 Strong St.,Melbourne,,UK,Natividad,Valarie,Medium
12650,31,66.72,7,2068.32,10/03/2018,1233,Shipped,Vintage Cars,90,S700_2047,"Tokyo Collectables, Ltd",2798808470,4658 Baden Av.,Madrid,,USA,Sommer,Victoria,Small
12651,26,82.79,11,2152.54,09/09/2019,820,On Hold,Trucks and Buses,68,S32_4289,"Australian Collectables, Ltd",1825780886,Vinb'ltet 34,Nantes,,USA,Nelson,Diego,Small
12652,37,85.75,12,3172.75,30/08/2019,1077,Shipped,Vintage Cars,65,S24_3420,Mini Gifts Distributors Ltd.,7617060606,"C/ Moralzarzal, 86",Philadelphia,,Australia,Karttunen,Jonas,Small
12653,55,71.67,3,3941.85,07/05/2019,1130,Shipped,Classic Cars,115,S50_1392,Reims Collectables,4150625918,Smagsloget 45,San Rafael,,Denmark,Ashworth,Christina,Medium
12654,22,129.98,11,2859.56,08/11/2018,291,Shipped,Vintage Cars,169,S18_3232,"Corrida Auto Replicas, Ltd",1593202339,5677 Strong St.,Paris,,USA,Mendel,Giovanni,Small
12655,45,149.36,11,6721.200000000001,31/01/2020,1692,Shipped,Motorcycles,214,S10_1949,La Rochelle Gifts,5068798374,897 Long Airport Avenue,Boras,,France,Karttunen,Diego,Medium
12656,50,71.98,3,3599.0,02/12/2019,3372,Shipped,Trucks and Buses,86,S700_1938,Mini Creations Ltd.,2464283143,Via Ludovico il Moro 22,Aaarhus,,USA,King,Sean,Large
12657,50,37.13,2,1856.5000000000002,24/06/2019,1885,Shipped,Vintage Cars,173,S12_3891,Suominen Souveniers,1849640788,4092 Furth Circle,Newark,,USA,Rovelli,Veysel,Small
12658,22,186.86,2,4110.92,14/10/2019,3382,Shipped,Classic Cars,105,S18_3856,"Australian Collectors, Co.",4325230714,5677 Strong St.,San Jose,,Germany,Thompson,Akiko,Medium
12659,45,132.0,1,5940.0,06/10/2019,1167,On Hold,Ships,86,S700_1938,"Australian Collectables, Ltd",9303111140,23 Tsawassen Blvd.,Manchester,,Italy,Henriot,Anna,Medium
12660,46,48.38,11,2225.48,04/11/2018,1285,Shipped,Classic Cars,73,S24_1046,Auto Assoc. & Cie.,1144461162,"24, place Kluber",Paris,,USA,Victorino,Valarie,Small
12661,34,245.2,16,8336.8,02/04/2019,2871,Shipped,Vintage Cars,115,S12_4675,Classic Legends Inc.,6925063026,Garden House Crowther Way,San Jose,,USA,Larsson,Michael,Medium
12662,76,58.78,4,4467.28,08/09/2019,2271,Shipped,Vintage Cars,80,S18_3278,Gift Ideas Corp.,5525719632,15 McCallum Street - NatWest Center #13-03,Reggio Emilia,,Denmark,Thompson,Diego,Medium
12663,25,55.07,2,1376.75,12/01/2019,3383,Cancelled,Classic Cars,80,S18_3278,Collectables For Less Inc.,7241872117,59 rue de l'Abbaye,Madrid,,Spain,Berglund,Maurizio,Medium
12664,49,106.93,4,5239.570000000001,02/08/2019,1738,Shipped,Classic Cars,101,S18_2949,L'ordine Souveniers,5239850582,8616 Spinnaker Dr.,Reggio Emilia,,Spain,Natividad,Julie,Small
12665,42,89.75,6,3769.5,17/02/2018,908,Shipped,Ships,65,S24_3420,Mini Gifts Distributors Ltd.,1285081488,636 St Kilda Road,Madrid,,Australia,Natividad,Jonas,Medium
12666,27,140.62,2,3796.7400000000002,26/04/2019,1080,Shipped,Classic Cars,141,S18_3685,"Stylish Desk Decors, Co.",6415604317,7476 Moss Rd.,Manchester,,Singapore,Koskitalo,Kalle,Medium
12667,49,89.29,1,4375.21,06/07/2019,2788,Shipped,Ships,68,S24_2841,Motor Mint Distributors Inc.,2621185091,"C/ Moralzarzal, 86",Pasadena,,Sweden,Sommer,Marta,Medium
12668,33,163.99,3,5411.67,11/09/2018,2634,Shipped,Ships,170,S18_1749,Signal Collectibles Ltd.,7345210189,"C/ Moralzarzal, 86",Boston,,Belgium,Suominen,Marta,Small
12669,33,35.35,11,1166.55,05/11/2018,1035,Shipped,Planes,101,S18_2949,Mini Auto Werke,6172923489,"C/ Araquil, 67",Salzburg,,USA,Nelson,Eric,Small
12670,20,47.18,6,943.6,14/10/2019,55,Shipped,Planes,168,S18_2795,Mini Gifts Distributors Ltd.,1712642452,4092 Furth Circle,Newark,,Spain,Cervantes,Elizabeth,Medium
12671,43,114.24,7,4912.32,07/07/2019,2880,Shipped,Classic Cars,62,S18_2957,Marseille Mini Autos,5636746166,"C/ Moralzarzal, 86",Melbourne,,Austria,Huxley,Steve,Small
12672,34,43.27,16,1471.18,23/10/2018,1349,Shipped,Vintage Cars,57,S24_1444,"UK Collectables, Ltd.",9453141514,897 Long Airport Avenue,Singapore,,Australia,Holz,Jytte,Medium
12673,48,158.52,11,7608.960000000001,03/03/2018,1440,Shipped,Motorcycles,60,S18_2248,Euro Shopping Channel,8844907246,3086 Ingle Ln.,San Rafael,,UK,Murphy,Julie,Medium
12674,37,83.44,16,3087.2799999999997,21/08/2019,3232,Shipped,Classic Cars,173,S12_3891,Mini Caravy,7908302955,2793 Furth Circle,Madrid,,Australia,Thompson,Leslie,Small
12675,47,118.22,10,5556.34,31/05/2020,2209,Shipped,Motorcycles,54,S72_3212,Gifts4AllAges.com,4356361273,2678 Kingston Rd.,San Rafael,,Switzerland,Cervantes,Paul,Medium
12676,61,67.97,8,4146.17,20/07/2019,3560,Shipped,Ships,118,S10_2016,Mini Gifts Distributors Ltd.,2071426939,16780 Pompton St.,Madrid,,USA,O'Hara,Diego,Small
12677,37,67.2,13,2486.4,05/12/2018,3119,In Process,Planes,87,S18_4522,Online Diecast Creations Co.,9693687623,"C/ Araquil, 67",Paris,,USA,King,Valarie,Small
12678,26,63.71,6,1656.46,01/08/2018,2134,Shipped,Vintage Cars,105,S18_3856,Canadian Gift Exchange Network,4734583744,Via Ludovico il Moro 22,Reims,,UK,Larsson,Victoria,Medium
12679,36,74.67,6,2688.12,12/01/2020,2115,Shipped,Motorcycles,85,S24_3191,Alpha Cognac,2526101460,567 North Pendale Street,Lule,,USA,Accorti,Juri,Medium
12680,66,235.73,15,15558.179999999998,06/06/2018,1189,Shipped,Ships,81,S50_4713,"Corrida Auto Replicas, Ltd",3911247823,"C/ Moralzarzal, 86",Madrid,,Japan,Ferguson,Victoria,Small
12681,24,60.95,10,1462.8000000000002,17/10/2018,2237,Shipped,Ships,151,S12_3148,"Toms Spezialitten, Ltd",1776915491,Garden House Crowther Way,Madrid,,Belgium,Saavedra,Yoshi,Medium
12682,45,203.34,12,9150.3,05/11/2018,3262,Shipped,Trucks and Buses,122,S24_2011,Rovelli Gifts,3247747821,7586 Pompton St.,San Jose,,Spain,Bertrand,Elizabeth,Small
12683,45,89.38,2,4022.1,29/04/2018,2175,Shipped,Motorcycles,96,S32_1268,"Tokyo Collectables, Ltd",7340910530,"Software Engineering Center, SEC Oy",Frankfurt,,France,Young,Janine,Small
12684,51,134.84,7,6876.84,02/01/2019,498,Resolved,Classic Cars,105,S18_3856,Handji Gifts& Co,9719301639,"C/ Moralzarzal, 86",Madrid,,Finland,Karttunen,Kyung,Medium
12685,33,168.69,9,5566.7699999999995,21/05/2018,1061,Shipped,Classic Cars,193,S10_4698,Mini Gifts Distributors Ltd.,1512071735,"Merchants House, 27-30 Merchant's Quay",Torino,,UK,Fresnisre,Adrian,Medium
12686,21,185.13,6,3887.73,20/11/2019,1561,Shipped,Trains,118,S10_2016,"Norway Gifts By Mail, Co.",4621130998,"67, rue des Cinquante Otages",Bruxelles,,Switzerland,Brown,Dean,Small
12687,20,125.12,11,2502.4,02/12/2019,2525,Shipped,Classic Cars,71,S18_4933,Rovelli Gifts,1690932580,361 Furth Circle,Lille,,USA,Tam,Laurence,Medium
12688,39,78.92,4,3077.88,11/11/2018,195,Shipped,Classic Cars,68,S24_3949,Mini Gifts Distributors Ltd.,7496902848,39323 Spinnaker Dr.,NYC,,USA,Freyre,Pascale,Medium
12689,49,73.17,4,3585.33,01/11/2019,1243,Shipped,Classic Cars,136,S18_3140,Mini Gifts Distributors Ltd.,6827640433,"C/ Moralzarzal, 86",Brisbane,,Spain,Frick,Anna,Small
12690,44,189.23,1,8326.119999999999,06/11/2018,1149,Shipped,Planes,69,S24_2360,Daedalus Designs Imports,1394046125,7825 Douglas Av.,Nantes,,USA,Suominen,Anna,Medium
12691,27,172.34,7,4653.18,29/11/2019,3374,Shipped,Classic Cars,99,S700_2466,Diecast Collectables,5001484807,8616 Spinnaker Dr.,Madrid,,Finland,Freyre,Allen,Large
12692,25,86.51,13,2162.75,28/10/2018,2568,Shipped,Vintage Cars,157,S18_1662,West Coast Collectables Co.,7410216093,"25, rue Lauriston",Liverpool,,Sweden,Ferguson,Eduardo,Medium
12693,32,48.38,4,1548.16,19/07/2019,199,Shipped,Classic Cars,43,S50_1341,Mini Gifts Distributors Ltd.,2829213939,Hansastr. 15,Philadelphia,,Australia,Ashworth,Diego,Medium
12694,21,155.11,3,3257.3100000000004,26/11/2018,481,In Process,Planes,43,S50_1341,"Anna's Decorations, Ltd",7972570857,59 rue de l'Abbaye,Boras,,USA,Hernandez,Janine,Small
12695,31,57.68,13,1788.08,18/03/2018,2368,Shipped,Classic Cars,64,S32_3522,Lyon Souveniers,1799555140,7 Allen Street,San Rafael,,Spain,Roel,Jonas,Small
12696,31,118.68,8,3679.0800000000004,19/02/2019,2012,Shipped,Vintage Cars,43,S50_1341,Mini Gifts Distributors Ltd.,3924825851,Grenzacherweg 237,Boras,,France,Nelson,Mory,Small
12697,37,111.69,11,4132.53,05/10/2018,1314,Shipped,Classic Cars,150,S12_2823,Scandinavian Gift Ideas,9662442983,Berkeley Gardens 12  Brewery,Lyon,,Italy,Hernandez,Georg,Small
12698,28,118.32,1,3312.96,09/12/2019,1261,Shipped,Motorcycles,84,S18_2581,Diecast Classics Inc.,5821605962,"C/ Moralzarzal, 86",Frankfurt,,Spain,King,Jeff,Small
12699,31,127.73,1,3959.63,22/02/2020,2493,Shipped,Vintage Cars,74,S700_4002,Scandinavian Gift Ideas,8967999969,9408 Furth Circle,Bergen,,Finland,Lincoln,Valarie,Small
12700,23,77.99,1,1793.77,06/10/2018,1440,Shipped,Motorcycles,87,S18_4522,Herkku Gifts,6485864173,Vinb'ltet 34,Melbourne,,France,Pipps,Frederique,Small
12701,36,94.14,10,3389.04,06/10/2018,1259,Shipped,Vintage Cars,136,S18_3140,"Corrida Auto Replicas, Ltd",9694045075,?kergatan 24,Versailles,,France,Dewey,Tony,Small
12702,39,189.23,7,7379.969999999999,27/06/2018,2105,Shipped,Vintage Cars,121,S18_4600,"AV Stores, Co.",7301907125,7 Allen Street,Bruxelles,,USA,Freyre,Helen,Medium
12703,33,36.07,4,1190.31,28/10/2018,587,Shipped,Vintage Cars,95,S10_1678,Tekni Collectables Inc.,4973749291,?kergatan 24,Las Vegas,,USA,Nelson,Mary,Small
12704,46,85.25,6,3921.5,20/07/2019,2870,Shipped,Vintage Cars,99,S700_3962,Suominen Souveniers,5032837703,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Gensve,,Canada,Petersen,Eduardo,Medium
12705,36,135.22,7,4867.92,30/03/2020,1196,Shipped,Classic Cars,97,S24_4258,Petit Auto,8908191230,"C/ Araquil, 67",Paris,,USA,Pipps,Valarie,Large
12706,37,172.47,2,6381.39,06/01/2020,491,Shipped,Classic Cars,84,S18_2581,"Toms Spezialitten, Ltd",5718447228,Geislweg 14,Koln,,USA,Pfalzheim,Jan,Medium
12707,35,82.82,5,2898.7,30/03/2020,2036,Shipped,Vintage Cars,96,S32_1268,Handji Gifts& Co,5959634779,39323 Spinnaker Dr.,Paris,,France,Rovelli,Ann,Small
12708,27,88.45,14,2388.15,08/04/2020,3424,Shipped,Classic Cars,169,S18_3232,Enaco Distributors,4161597445,5677 Strong St.,Nantes,,USA,Nelson,Mart¡n,Small
12709,47,169.04,5,7944.879999999999,01/03/2020,275,Shipped,Motorcycles,95,S10_1678,Signal Gift Stores,6505202981,43 rue St. Laurent,North Sydney,,Australia,Bennett,Michael,Medium
12710,47,71.2,4,3346.4,05/11/2018,1138,Shipped,Classic Cars,41,S24_3969,"Toys of Finland, Co.",1357080604,Via Monte Bianco 34,Munich,,USA,Pipps,Jeff,Medium
12711,46,89.75,8,4128.5,11/03/2019,2520,Shipped,Vintage Cars,95,S10_1678,"Toms Spezialitten, Ltd",5004332530,Strada Provinciale 124,Bruxelles,,USA,Saavedra,Paul,Medium
12712,24,155.88,8,3741.12,16/10/2019,484,Shipped,Trucks and Buses,118,S700_2834,"La Corne D'abondance, Co.",8567956995,23 Tsawassen Blvd.,San Rafael,,USA,Victorino,Marta,Medium
12713,26,50.25,9,1306.5,04/08/2019,72,Shipped,Planes,88,S24_3151,Reims Collectables,3650113151,"24, place Kluber",Minato-ku,,USA,Ibsen,Peter,Medium
12714,43,68.78,9,2957.54,28/10/2018,502,Shipped,Vintage Cars,80,S18_3278,Mini Gifts Distributors Ltd.,5968336069,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Frankfurt,,France,Saveley,Kwai,Small
12715,22,159.81,9,3515.82,20/03/2019,191,Shipped,Motorcycles,100,S700_3505,Petit Auto,7610777205,Village Close - 106 Linden Road Sandown,NYC,,Australia,Freyre,Diego,Medium
12716,21,96.84,15,2033.64,08/08/2018,857,Shipped,Trucks and Buses,100,S700_3505,"Classic Gift Ideas, Inc",8283293930,25 Maiden Lane,Madrid,,Italy,Huxley,Jonas,Small
12717,27,77.24,1,2085.48,26/11/2018,1452,Shipped,Classic Cars,100,S700_3505,Daedalus Designs Imports,3360409409,Keskuskatu 45,NYC,,Norway,Holz,Yoshi,Medium
12718,31,96.37,4,2987.4700000000003,06/05/2020,169,Shipped,Classic Cars,121,S18_4600,"Anna's Decorations, Ltd",3499138475,7586 Pompton St.,Madrid,,USA,Shimamura,Roland,Medium
12719,48,82.94,6,3981.12,08/06/2019,1136,Shipped,Classic Cars,116,S18_1097,Rovelli Gifts,6331480689,"2, rue du Commerce",Lille,,France,Karttunen,Violeta,Medium
12720,40,126.68,12,5067.200000000001,20/02/2019,1612,Shipped,Trucks and Buses,150,S12_2823,Diecast Classics Inc.,5446700638,"67, rue des Cinquante Otages",Brickhaven,,Italy,Franco,Valarie,Large
12721,37,50.21,8,1857.77,22/11/2019,512,Resolved,Motorcycles,118,S10_2016,Toys4GrownUps.com,9126978458,7825 Douglas Av.,Gensve,,Switzerland,Cruz,Kalle,Small
12722,21,29.21,1,613.41,03/12/2019,196,Shipped,Classic Cars,102,S18_1342,L'ordine Souveniers,4033493010,Mehrheimerstr. 369,Manchester,,USA,Labrune,Kwai,Small
12723,36,163.44,4,5883.84,06/07/2019,2220,Cancelled,Classic Cars,95,S10_1678,Diecast Collectables,5122156407,4575 Hillside Dr.,Minato-ku,,Canada,Cartrain,Adrian,Small
12724,25,80.34,3,2008.5,23/10/2018,127,Shipped,Classic Cars,122,S18_2319,Motor Mint Distributors Inc.,9759101241,25593 South Bay Ln.,Cowes,,USA,Pipps,Yoshi,Medium
12725,40,113.28,1,4531.2,08/11/2018,1355,Shipped,Motorcycles,100,S18_3259,The Sharp Gifts Warehouse,8531601765,361 Furth Circle,Melbourne,,Spain,Yu,Leslie,Medium
12726,28,120.56,7,3375.6800000000003,29/05/2020,1685,Shipped,Classic Cars,136,S18_3140,Osaka Souveniers Co.,9908450466,"C/ Moralzarzal, 86",Manchester,,Spain,Freyre,Janine,Medium
12727,50,146.52,1,7326.000000000001,21/08/2019,607,Shipped,Vintage Cars,107,S24_3432,"Norway Gifts By Mail, Co.",8615590410,"C/ Moralzarzal, 86",Bruxelles,,France,Koskitalo,Juri,Large
12728,40,70.76,7,2830.4,19/02/2019,2710,Shipped,Motorcycles,58,S50_1514,Mini Gifts Distributors Ltd.,4669522985,5677 Strong St.,Koln,,Italy,Henriot,Diego,Medium
12729,43,131.98,9,5675.139999999999,02/12/2018,122,Shipped,Trucks and Buses,214,S10_1949,"Australian Collectors, Co.",3901735922,59 rue de l'Abbaye,Chatswood,,France,Shimamura,Valarie,Medium
12730,23,192.87,7,4436.01,05/11/2018,192,Shipped,Vintage Cars,136,S10_4757,Collectable Mini Designs Co.,5618573087,5905 Pompton St.,NYC,,France,Moroni,Sue,Medium
12731,49,101.43,10,4970.070000000001,01/03/2020,2490,Shipped,Vintage Cars,37,S24_2972,FunGiftIdeas.com,6909930044,"C/ Moralzarzal, 86",Chatswood,,France,Freyre,Jytte,Medium
12732,22,93.28,5,2052.16,27/06/2018,1239,Shipped,Vintage Cars,50,S24_1628,Euro Shopping Channel,3496442272,"25, rue Lauriston",Boston,,Philippines,Klaeboe,Veysel,Medium
12733,29,98.63,5,2860.27,06/10/2018,1315,Shipped,Trucks and Buses,81,S50_4713,Quebec Home Shopping Network,4706999336,"25, rue Lauriston",NYC,,USA,Petersen,Eduardo,Small
12734,25,69.12,3,1728.0,27/06/2018,1410,Shipped,Classic Cars,84,S18_2581,Vitachrome Inc.,8648855286,1785 First Street,Barcelona,,USA,Petersen,Pascale,Small
12735,21,165.38,10,3472.98,03/04/2019,3138,Shipped,Classic Cars,50,S18_4668,Mini Gifts Distributors Ltd.,5074608830,"C/ Araquil, 67",San Rafael,,Germany,Ashworth,Giovanni,Small
12736,46,32.1,10,1476.6000000000001,12/11/2018,3487,Shipped,Classic Cars,99,S700_2466,"Corrida Auto Replicas, Ltd",2306612897,Torikatu 38,Lille,,Philippines,Freyre,Henriette,Small
12737,41,172.34,4,7065.9400000000005,07/05/2019,3196,Shipped,Classic Cars,58,S50_1514,"Australian Collectors, Co.",5485276577,Berguvsvgen  8,NYC,,USA,Koskitalo,Roland,Medium
12738,32,81.87,1,2619.84,05/04/2019,2126,Shipped,Classic Cars,121,S18_4600,Mini Creations Ltd.,5087897268,2-2-8 Roppongi,Gensve,,USA,Freyre,Valarie,Medium
12739,49,60.76,8,2977.24,09/03/2020,1708,Shipped,Classic Cars,101,S18_2949,"Royal Canadian Collectables, Ltd.",5079558001,Erling Skakkes gate 78,Chatswood,,France,Huxley,Sue,Medium
12740,50,85.87,9,4293.5,03/06/2018,2301,Shipped,Trucks and Buses,169,S18_3232,Euro Shopping Channel,3191208958,Torikatu 38,NYC,,Philippines,Young,Michael,Medium
12741,30,128.93,6,3867.9,09/01/2018,1084,Shipped,Motorcycles,194,S12_1099,"Toms Spezialitten, Ltd",9369480133,"Rambla de Catalu¤a, 23",Strasbourg,,France,Citeaux,Mory,Small
12742,39,81.35,1,3172.6499999999996,24/02/2018,485,Shipped,Classic Cars,62,S18_2957,"Oulu Toy Supplies, Inc.",6209794947,897 Long Airport Avenue,NYC,,Italy,Holz,Julie,Medium
12743,43,132.29,6,5688.469999999999,21/10/2019,2112,Shipped,Classic Cars,115,S12_4675,Souveniers And Things Co.,6526014922,"Drammensveien 126 A, PB 744 Sentrum",Bridgewater,,Canada,Ibsen,Anna,Medium
12744,48,100.01,2,4800.4800000000005,01/03/2020,1375,Shipped,Classic Cars,127,S24_2300,"Corrida Auto Replicas, Ltd",9838573109,"Monitor Money Building, 815 Pacific Hwy",South Brisbane,,USA,Rovelli,Kwai,Large
12745,15,43.13,6,646.95,10/05/2020,1388,Shipped,Vintage Cars,66,S700_1138,Tekni Collectables Inc.,1400236106,"C/ Moralzarzal, 86",Allentown,,USA,Connery,Akiko,Medium
12746,36,73.6,5,2649.6,30/09/2019,2157,Cancelled,Ships,104,S18_3136,Motor Mint Distributors Inc.,9043306634,5677 Strong St.,San Rafael,,USA,Nelson,Adrian,Small
12747,23,171.03,10,3933.69,04/06/2019,972,Shipped,Classic Cars,99,S32_1374,"Australian Collectables, Ltd",1517634174,78934 Hillside Dr.,Gensve,,Italy,Lebihan,Elizabeth,Small
12748,45,49.67,6,2235.15,02/12/2019,1278,Shipped,Classic Cars,118,S10_2016,Land of Toys Inc.,7049059671,5677 Strong St.,Singapore,,UK,Nelson,Giovanni,Medium
12749,38,54.68,12,2077.84,16/04/2018,3463,Shipped,Classic Cars,151,S12_3148,Herkku Gifts,8453246088,636 St Kilda Road,Philadelphia,,USA,Bergulfsen,Wendy,Small
12750,45,65.31,1,2938.9500000000003,20/08/2019,2649,Shipped,Classic Cars,96,S32_1268,Signal Gift Stores,5288144558,"Monitor Money Building, 815 Pacific Hwy",Dublin,,USA,Saveley,Wing C,Medium
12751,50,192.05,8,9602.5,28/05/2018,3266,Shipped,Vintage Cars,100,S700_3505,Signal Gift Stores,1568526107,3086 Ingle Ln.,Tsawassen,,Spain,Pfalzheim,Valarie,Large
12752,31,105.88,14,3282.2799999999997,05/04/2019,663,Shipped,Planes,68,S24_2841,"Australian Gift Network, Co",6037357466,"Drammensveien 126 A, PB 744 Sentrum",Madrid,,USA,Bergulfsen,Giovanni,Medium
12753,44,61.15,7,2690.6,27/11/2018,3214,Shipped,Trains,53,S18_1367,Collectable Mini Designs Co.,9879066080,"C/ Moralzarzal, 86",Gensve,,Germany,Roulet,Valarie,Small
12754,26,70.56,3,1834.56,19/08/2019,972,Shipped,Planes,61,S24_3371,"Oulu Toy Supplies, Inc.",7558456127,Erling Skakkes gate 78,Madrid,,UK,Ashworth,Peter,Medium
12755,45,162.51,4,7312.95,28/06/2019,474,Shipped,Classic Cars,86,S18_3029,Cruz & Sons Co.,9649840518,"Software Engineering Center, SEC Oy",Singapore,,Spain,Kuo,Diego,Large
12756,33,61.51,6,2029.83,10/08/2018,2057,Shipped,Vintage Cars,107,S24_3432,Euro Shopping Channel,4454740824,3086 Ingle Ln.,Cambridge,,Australia,Yu,William,Large
12757,36,199.49,12,7181.64,17/12/2019,2646,Shipped,Ships,50,S24_1628,Handji Gifts& Co,7803497294,3086 Ingle Ln.,San Rafael,,Italy,Tam,Paul,Small
12758,29,154.44,13,4478.76,06/08/2019,1507,Shipped,Vintage Cars,97,S24_4258,Mini Creations Ltd.,3631005858,"C/ Romero, 33",Espoo,,Canada,Benitez,Anna,Medium
12759,26,89.4,5,2324.4,28/06/2019,3447,Shipped,Ships,124,S18_1589,Classic Legends Inc.,7834427191,Erling Skakkes gate 78,Reggio Emilia,,Finland,Nelson,Victoria,Medium
12760,36,96.74,6,3482.64,04/12/2019,1749,Shipped,Classic Cars,96,S32_1268,"Royal Canadian Collectables, Ltd.",2600705036,4092 Furth Circle,Madrid,,Spain,Freyre,Valarie,Medium
12761,38,102.23,5,3884.7400000000002,16/09/2019,3337,Shipped,Vintage Cars,109,S24_1785,"AV Stores, Co.",7224981059,"Monitor Money Building, 815 Pacific Hwy",Chatswood,,France,Ibsen,Valarie,Small
12762,34,89.4,14,3039.6000000000004,03/03/2018,1976,Shipped,Planes,101,S18_2949,Online Diecast Creations Co.,9653050052,25 Maiden Lane,Allentown,,Italy,Freyre,Anna,Small
12763,23,111.12,5,2555.76,14/10/2019,372,Shipped,Planes,66,S700_1138,Mini Gifts Distributors Ltd.,1174476578,35 King George,Manchester,,Sweden,Freyre,Diego,Small
12764,44,106.23,17,4674.12,20/05/2018,247,Shipped,Ships,95,S10_1678,Lyon Souveniers,3895097465,3675 Furth Circle,Chatswood,,Singapore,Freyre,Eric,Small
12765,22,87.31,11,1920.8200000000002,23/01/2020,2315,Shipped,Planes,142,S18_1984,Mini Auto Werke,5885797501,"12, rue des Bouchers",Koln,,USA,Ashworth,Anna,Small
12766,21,71.67,15,1505.07,29/04/2018,126,Shipped,Vintage Cars,116,S18_1097,"La Corne D'abondance, Co.",1722524722,15 McCallum Street - NatWest Center #13-03,Boras,,USA,Moroni,Georg,Small
12767,50,169.28,1,8464.0,05/11/2019,1686,Shipped,Classic Cars,132,S18_2870,"AV Stores, Co.",1359360031,43 rue St. Laurent,Oslo,,Spain,Young,Helen,Small
12768,26,77.52,8,2015.52,10/05/2020,3183,Shipped,Classic Cars,148,S18_4721,Mini Auto Werke,5369826037,636 St Kilda Road,San Rafael,,USA,Keitel,Diego,Medium
12769,31,101.79,10,3155.4900000000002,10/12/2019,2141,Shipped,Planes,115,S12_4675,"Royal Canadian Collectables, Ltd.",5465261888,"C/ Moralzarzal, 86",San Rafael,,France,Franco,Francisca,Small
12770,46,183.94,10,8461.24,01/11/2019,2934,Shipped,Planes,90,S700_2047,"Toys of Finland, Co.",9658252868,"2, rue du Commerce",Boras,,Italy,Lincoln,Juri,Medium
12771,33,95.55,7,3153.15,02/07/2018,2043,In Process,Classic Cars,85,S24_3191,Diecast Classics Inc.,7020088249,"2, rue du Commerce",Madrid,,USA,Bennett,Kyung,Small
12772,27,66.04,5,1783.0800000000002,17/11/2019,1080,Shipped,Vintage Cars,122,S18_2319,Toys4GrownUps.com,5084814562,5677 Strong St.,Marseille,,USA,Ferguson,Frederique,Small
12773,28,106.26,3,2975.28,17/08/2019,217,On Hold,Vintage Cars,95,S10_1678,La Rochelle Gifts,5821220039,"24, place Kluber",NYC,,UK,Koskitalo,Annette,Small
12774,22,138.65,4,3050.3,06/11/2018,3423,Shipped,Classic Cars,140,S24_3856,Mini Gifts Distributors Ltd.,4897771249,"C/ Moralzarzal, 86",Glen Waverly,,UK,Young,Sean,Medium
12775,45,83.79,16,3770.55,20/11/2018,1749,Shipped,Ships,81,S50_4713,Auto Canal Petit,3303818852,9408 Furth Circle,Melbourne,,Spain,Larsson,Paul,Small
12776,25,96.74,4,2418.5,02/03/2020,359,Shipped,Planes,146,S18_3482,Marta's Replicas Co.,3646525574,"67, rue des Cinquante Otages",Allentown,,Germany,Yoshido,Diego,Large
12777,26,94.25,11,2450.5,28/09/2018,3298,Shipped,Vintage Cars,99,S700_3962,Euro Shopping Channel,4993615717,897 Long Airport Avenue,New Bedford,,Norway,Huxley,Helen,Medium
12778,34,75.69,4,2573.46,02/07/2018,142,Shipped,Motorcycles,37,S24_2972,Diecast Classics Inc.,2969410535,"2, rue du Commerce",Helsinki,,Italy,Freyre,Rosa,Small
12779,33,50.33,6,1660.8899999999999,17/11/2019,1379,Shipped,Classic Cars,44,S24_2022,FunGiftIdeas.com,9436875315,"Drammen 121, PR 744 Sentrum",Philadelphia,,USA,Cartrain,Georg,Medium
12780,54,49.22,9,2657.88,12/01/2019,2371,Shipped,Motorcycles,43,S50_1341,Auto Assoc. & Cie.,6568025341,9408 Furth Circle,Pasadena,,Sweden,Freyre,Kwai,Medium
12781,31,102.56,9,3179.36,18/11/2018,3398,Shipped,Trucks and Buses,132,S18_2870,L'ordine Souveniers,7225639418,"54, rue Royale",Madrid,,USA,Cervantes,Matti,Small
12782,22,168.42,8,3705.24,23/01/2020,3506,Shipped,Classic Cars,124,S18_1589,"AV Stores, Co.",3940388616,16780 Pompton St.,Philadelphia,,UK,Bergulfsen,Mart¡n,Small
12783,31,36.07,1,1118.17,15/10/2019,1876,Shipped,Planes,65,S24_3420,giftsbymail.co.uk,3212575895,23 Tsawassen Blvd.,Bruxelles,,Switzerland,Brown,Palle,Small
12784,50,124.43,9,6221.5,28/06/2019,3413,Shipped,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",7930909511,2793 Furth Circle,Pasadena,,Finland,Saveley,Valarie,Small
